"OrderID","Date","TimeOfDay","Category","Product","Qty","Revenue","Payment"
"1001","2024-01-05","Morning","Croissant","Butter Croissant","2","8.5","UPI"
"1002","2024-01-05","Morning","Beverage","Cappuccino","1","4.5","Card"
"1003","2024-02-14","Afternoon","Cake","Chocolate Truffle Cake","1","35","Card"
"1004","2024-03-20","Lunch","Bread","Sourdough Bread","1","6.5","Cash"
"1005","2024-04-10","Evening","Pastry","Red Velvet Cupcake","4","16","UPI"
"1006","2024-05-22","Morning","Croissant","Almond Croissant","2","10","UPI"
"1007","2024-06-15","Afternoon","Cookie","Chocochip Cookie","6","12","Cash"
"1008","2024-07-04","Morning","Beverage","Espresso","2","6","Card"
"1009","2024-08-19","Lunch","Bread","Baguette","2","7","UPI"
"1010","2024-11-25","Evening","Cake","Black Forest Cake","1","30","Card"
