"EmployeeID","Age","Attrition","Department","Gender","JobRole","MonthlyIncome"
"1","41","Yes","Sales","Female","Sales Exec","5993"
"2","49","No","R&D","Male","Research Sci","5130"
"3","37","Yes","R&D","Male","Lab Tech","2090"
"4","33","No","R&D","Female","Research Sci","2909"
"5","27","No","R&D","Male","Lab Tech","3468"
"6","32","No","R&D","Male","Lab Tech","3068"
"7","59","No","R&D","Female","Lab Tech","2670"
"8","30","No","R&D","Male","Lab Tech","2693"
"9","38","No","R&D","Male","Mfg Director","9526"
"10","36","No","R&D","Male","Healthcare Rep","5237"
"11","35","No","R&D","Male","Lab Tech","2426"
"12","29","No","R&D","Female","Lab Tech","4193"
"13","31","No","R&D","Male","Research Sci","2911"
"14","34","No","R&D","Male","Lab Tech","2661"
"15","28","Yes","R&D","Male","Lab Tech","2028"
"16","29","No","R&D","Female","Mfg Director","9980"
"17","32","No","R&D","Male","Research Sci","3298"
"18","22","No","R&D","Male","Lab Tech","2935"
"19","53","No","Sales","Female","Manager","15427"
"20","38","No","R&D","Male","Research Sci","3944"
