"Product Name","Discount","Revenue","Cost","Margin"
"65W GaN Charger","7.39","1265710","1047770","17.22"
"Airdopes 141","8.35","4083200","3687350","9.69"
"Alpha ZV-E10","7.75","11850080","10833220","8.58"
"BlackShark V2","7.77","15054210","14331010","4.8"
"Bluetooth Keyboard","7.56","2702180","2134380","21.01"
"BoostCharge Cable","7.97","2916290","2316260","20.58"
"ColorFit Pro","8.01","2260680","1910110","15.51"
"D3500 DSLR","7.77","13679490","13157190","3.82"
"DualSense Controller","8.1","3292190","3029740","7.97"
"EOS 200D","8.01","11252610","10606430","5.74"
"Echo Dot 5th Gen","7.43","910100","731500","19.62"
"Flex Smartwatch","7.35","5033770","4140500","17.75"
"G102 Mouse","7.73","6796530","6512300","4.18"
"Galaxy S24","8.27","21994730","19770040","10.11"
"Galaxy Tab S9","7.62","30062920","27755860","7.67"
"Hero 12 Black","8","24360600","22421590","7.96"
"Hue Smart Bulb","7.57","440120","362490","17.64"
"Inspiron 15","7.69","13685010","12994020","5.05"
"Legion 5","7.51","20542930","19903370","3.11"
"MacBook Air M2","7.25","10428610","9995850","4.15"
"Mi Smart Camera","7.84","3302310","3009700","8.86"
"Mini 4 Pro","7.85","17366370","15906570","8.41"
"Nest Mini","7.92","3694810","3311230","10.38"
"OMEN 16","8.26","18282180","17712020","3.12"
"OnePlus 12","7.32","29493330","26910740","8.76"
"Pavilion 14","7.13","13375230","12782180","4.43"
"Pixel 8","7.52","12820810","12254490","4.42"
"PlayStation 5","8.01","1606570","1535410","4.43"
"PowerCore 20000mAh","7.63","1193670","1013140","15.12"
"QuietComfort Earbuds","7.72","10518190","8950970","14.9"
"Redmi Note 13","7.99","12129980","10912300","10.04"
"Redmi Pad Pro","7.24","30756450","29168640","5.16"
"Rockerz 450","7.9","1514100","1217020","19.62"
"Rugged Armor Case","7.96","1138890","987020","13.33"
"Switch OLED","7.51","4680600","4376520","6.5"
"Tapo Smart Plug","7.49","3642910","3022380","17.03"
"ThinkPad E14","7.19","17029970","16473010","3.27"
"Tune 510BT","7.02","14570420","11737890","19.44"
"Vivobook 16","6.53","16333120","15091320","7.6"
"WH-1000XM5","7.38","1607190","1265680","21.25"
"Xbox Series S","8.24","1061120","1016010","4.25"
"ZenBook 14","7.82","10736700","10216200","4.85"
"iPad Air","7.89","13127130","11853830","9.7"
"iPhone 15","7.78","17018600","16197210","4.83"
